Title,Excerpt,Votes,Answers,Views,Tags,Author,Reputation,Link
MongoDb throws out an error saying bas auth,"I have been trying to connect mongodb to my python code and everytime I try to run, it says ""Error: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication ...",0,0,2,"python, database, mongodb, pymongo",Heetanshu Raval,1,https://stackoverflow.com/questions/79156241/mongodb-throws-out-an-error-saying-bas-auth
How do I turn-off this horizontal line in the FFT plot,"I am trying to show the trend in observation data and the corresponding fft . A horizontal line keeps appearing in the fft, part that I do not need to show in the chart. To make myself, I give a MWE (...",0,0,4,"python, numpy, matplotlib, fft",Amina Umar,279,https://stackoverflow.com/questions/79156239/how-do-i-turn-off-this-horizontal-line-in-the-fft-plot
How do I make bi-directional bar chart that breaks down the P/L from each bet outcome vs the outcome?,I have python code where I create code that graphs each betting scenarios. My code returns this [graph ](graph) import pandas as pd import matplotlib.pyplot as plt import itertools bet_details = { ...,0,0,4,"python, pandas, matplotlib, plot, plotly",MJordan96,1,https://stackoverflow.com/questions/79156224/how-do-i-make-bi-directional-bar-chart-that-breaks-down-the-p-l-from-each-bet-ou
How often are floats cast to ints in PyTorch?,"One question I had was regarding casting, specifically how often are floats cast to ints? Casting an int to a float for an operation like mean seems reasonable to me, however I can't see an instance ...",0,0,5,"python, pytorch",tds,21,https://stackoverflow.com/questions/79156215/how-often-are-floats-cast-to-ints-in-pytorch
"Convert pandas series of strings into PeriodIndex, quarterly","I have a column of strings which represent quarters (format '%Y%q') which I want to convert to PeriodIndex. How to do this? Nothing is working, can't find a strptime function that takes a format ...",0,0,6,"python, pandas, time-series, period",Faraz Masroor,230,https://stackoverflow.com/questions/79156209/convert-pandas-series-of-strings-into-periodindex-quarterly
I cant click the heart button with Shadow DOM,"i try to program a like bot. but i cant click the button. I tried my best, can you help me?enter image description hereenter image description here can someone look after my screenshots and and the ...",0,0,5,"python, selenium-webdriver",Nurullah,1,https://stackoverflow.com/questions/79156205/i-cant-click-the-heart-button-with-shadow-dom
Kivy's Label goes Blank after handling too much data,"I'm new to both Kivy and Python and we have a Label that is exceeding texture size in ScrollView when a new flow of data is fed to it upon scan triggered by a Button. Let's say in the Pixel 7 emulator,...",0,0,5,"python, kivy",kannick,15,https://stackoverflow.com/questions/79156203/kivys-label-goes-blank-after-handling-too-much-data
Is there an analogous way to authenticate to `pyodbc.connect('...;Authentication=ActiveDirectoryIntegrated')` for working with SharePoint/OneDrive?,I am able to connect to my company's Azure Synapse instance using code like the following: server = 'our server' database = 'our database' driver = '{ODBC Driver 17 for SQL Server}' authentication = '...,0,0,3,"python, active-directory, office365",Jared H,83,https://stackoverflow.com/questions/79156201/is-there-an-analogous-way-to-authenticate-to-pyodbc-connect-authentication
How to overcome Python3 installation Fatal Python error: init_fs_encoding,"While attempting to troubleshoot an issue on my Ubuntu for Windows installation I uninstalled all the python instances. The issue has been resolved, but now I'm unable to get python3 reinstalled. $ ...",0,0,6,"python, python-3.x, ubuntu, installation, windows-subsystem-for-linux",Jim Fell,14.2k,https://stackoverflow.com/questions/79156198/how-to-overcome-python3-installation-fatal-python-error-init-fs-encoding
Keras branch model issue,"I have constructed the following CNN model: def create_model(input_shape=(128, 128, 3)): inputs = keras.Input(shape=input_shape, name='inputs') # main block main_block = keras.Sequential([...",0,0,4,"python, keras",user28129051,1,https://stackoverflow.com/questions/79156190/keras-branch-model-issue
