Number,Title,Question_Text,Answers,Votes,Tags,Link
51,how to set SNOWFLAKE_HOME environment variable and overide default directory path,"I have below python code where i am trying to connect to Snowflake and execute queries in snowflake and generate result as excel file. Currently i am getting error as: UserWarning: Bad owner or permissions on \connections.toml warn(f""Bad owner or permissions on {str(filep)}{chmod_message}"") The snowflake connector always checking the default directory path C:\Users\.snowflake\connections.toml file and i want to change the location of this default directory path and set SNOWFLAKE_HOME environment variable but dont know how to do it. Also i am not sure if there is way so that snowflake connector does not check the connections.toml file connections at all and it should the check the connections defined in python code ? import pandas as pd from sqlalchemy import create_engine import csv import os import warnings from snowflake.sqlalchemy import URL import snowflake.connector # Suppress the specific SAWarning about 'flatten' warnings.filterwarnings(""ignore"", message=""The GenericFunction 'flatten' is already registered"") # Snowflake connection details snowflake_account = 'xxxxxx' snowflake_user = 'xxxxxx' snowflake_password = 'xxxxxx' # URL-encoded password snowflake_database = 'xxxxxx' snowflake_schema = 'xxxxxx' snowflake_warehouse = 'xxxxxx' # Add your warehouse name here # Local paths csv_file_path = r'C:\Users\QueryCSV1.csv' # Path to your local CSV file output_directory = os.path.dirname(csv_file_path) # Use the same directory as CSV file for output ctx = snowflake.connector.connect( user= snowflake_user, password= snowflake_password, account= snowflake_account, warehouse= snowflake_warehouse, database= snowflake_database, schema= snowflake_schema ) engine = create_engine(f'snowflake://{snowflake_user}:{snowflake_password}@{snowflake_account}/{snowflake_database}/{snowflake_schema}?warehouse={snowflake_warehouse}', creator=ctx) # Read queries from the CSV file with UTF-8 encoding to remove BOM with open(csv_file_path, mode='r', encoding='utf-8-sig') as file: reader = csv.reader(file) queries = [row[0] for row in reader if row] # Skip empty rows # Execute each query and save results to separate Excel files for i, query in enumerate(queries): try: # Execute the query using SQLAlchemy engine df = pd.read_sql(query, engine) # Define the output Excel file name output_file = os.path.join(output_directory, f'result_{i + 1}.xlsx') # Save the DataFrame to an Excel file df.to_excel(output_file, index=False) print(f'Saved results of query {i + 1} to {output_file}') except Exception as e: print(f""Error executing query {i + 1}: {e}"") # Close the SQLAlchemy engine connection engine.dispose()",[],0,"python, snowflake-cloud-data-platform, python, snowflake-cloud-data-platform",https://stackoverflow.com/questions/79156454/how-to-set-snowflake-home-environment-variable-and-overide-default-directory-pat
51,How to recreate the iPython console from Pycharm in VScode,"So I'm moving from pycharm to VScode, because a lot of people I work with use jupyter notebooks, and im not going to pay for pycharm professional. For my old workflow, I used to use the IPython console from pycharm. So I would have Ipython as my default interpreter, and every script i was working on, I would change to run in console (which was running in Ipython by default). I could also automatically run scripts everytime i started a new console, and the console had an extremely handy variable view, where I could see exactly which variables were defined, and their shape and stuff. So while coding, I would run each new line in the console first to see if it worked before adding it to the script. Does anyone else work like this? And has anyone else recreated this in VScode? Honestly just an implementation of the dynamic variable view would suffice for me, otherwise working with jupyter notebooks is quite similar to what I was doing.",[],0,"python, visual-studio-code, pycharm, vscode-extensions, python, visual-studio-code, pycharm, vscode-extensions",https://stackoverflow.com/questions/79156418/how-to-recreate-the-ipython-console-from-pycharm-in-vscode
51,How to wait until user input?,User sends some search query through telegram bot. After receiving bot starts parsing website using selenium but website has word captcha. How to catch a moment where site asks to resolve captcha and wait until user input a right word? I know how to wait for input in telegram but didn't find any suggestions for selenium. Maybe should I use a different method?,[],0,"python, selenium-webdriver, html-parsing, user-input, telegram-bot, python, selenium-webdriver, html-parsing, user-input, telegram-bot",https://stackoverflow.com/questions/79156411/how-to-wait-until-user-input
51,DQN model either doesn't work or it is extremely slow in training,"I'm trying to build a DQN model for my PhD progress, and before I implement it with the actual real data, I want to utilize dummy data. Using the same process with simple Q Learning the approach was effective, but once I transitioned it to DQN to make it more advanced and adaptive, I starting facing issues with the training phase. I also implemented GPU acceleration but it doesn't help at all. I wonder if it's because of the size of the dummy dataset, or something else that I can't figure out. Any help or guidance is appreciated. import numpy as np import torch import torch.nn as nn import torch.optim as optim import random import pandas as pd from collections import deque # Set device device = torch.device(""cuda"" if torch.cuda.is_available() else ""cpu"") print(""Running on device:"", device) # Dummy data setup data = { 'message_size': np.random.randint(1000, 70000, size=1000), 'cpu_usage': np.random.uniform(40, 100, size=1000), 'submission_time': np.random.uniform(0, 300, size=1000) } dummy_data = pd.DataFrame(data) # Parameters MAX_BLOCK_SIZE = 32768 ALPHA = 0.1 GAMMA = 0.9 EPSILON = 1.0 EPSILON_MIN = 0.01 EPSILON_DECAY = 0.99 BATCH_SIZE = 32 EPISODES = 1000 # DQN model class DQN(nn.Module): def __init__(self, input_dim): super(DQN, self).__init__() self.fc1 = nn.Linear(input_dim, 64) self.fc2 = nn.Linear(64, 64) self.fc3 = nn.Linear(64, 1) def forward(self, x): x = torch.relu(self.fc1(x)) x = torch.relu(self.fc2(x)) return self.fc3(x) # Initialize models and optimizer dqn = DQN(input_dim=2).to(device) target_model = DQN(input_dim=2).to(device) target_model.load_state_dict(dqn.state_dict()) optimizer = optim.Adam(dqn.parameters(), lr=ALPHA) memory = deque(maxlen=2000) # Block choice function def block_choice(state): if random.random() < EPSILON: return random.randint(1, int(state[0] // MAX_BLOCK_SIZE) + 1) else: state_tensor = torch.FloatTensor(state).to(device) return torch.argmax(dqn(state_tensor)).item() + 1 # Reward function based on utility def utility_function_rewarding(total_latency, cpu_per_block, max_latency=300, max_cpu=100): latency_reward = max(0, 1 - (total_latency / max_latency)) cpu_reward = max(0, 1 - (cpu_per_block / max_cpu)) return latency_reward + cpu_reward # Training function def dqn_training(batch_size): if len(memory) < batch_size: return batch = random.sample(memory, batch_size) states, actions, rewards, next_states, dones = zip(*batch) # Move data to device states = torch.FloatTensor(states).to(device) rewards = torch.FloatTensor(rewards).to(device) next_states = torch.FloatTensor(next_states).to(device) dones = torch.FloatTensor(dones).to(device) state_action_values = dqn(states) next_state_values = target_model(next_states).max(1)[0] expected_values = rewards + (GAMMA * next_state_values * (1 - dones)) loss = nn.functional.mse_loss(state_action_values, expected_values) optimizer.zero_grad() loss.backward() optimizer.step() # Store transitions in memory def store_transition(state, action, reward, next_state, done): memory.append((state, action, reward, next_state, done)) # Main training loop for episode in range(EPISODES): print(f""Starting Episode {episode + 1}/{EPISODES}"") row = dummy_data.sample().iloc[0] state = [row['submission_time'], row['cpu_usage']] total_reward = 0 done = False while not done: action = block_choice(state) next_row = dummy_data.sample().iloc[0] next_latency = next_row['submission_time'] next_cpu = next_row['cpu_usage'] / action next_state = [next_latency, next_cpu] reward = utility_function_rewarding(next_latency, next_cpu) total_reward += reward done = episode == EPISODES - 1 store_transition(state, action, reward, next_state, done) state = next_state dqn_training(BATCH_SIZE) # Update epsilon for exploration-exploitation balance if EPSILON > EPSILON_MIN: EPSILON *= EPSILON_DECAY print(f""Episode {episode + 1}/{EPISODES} - Total Reward: {total_reward}"")",[],0,"python, pytorch, reinforcement-learning, dqn, python, pytorch, reinforcement-learning, dqn",https://stackoverflow.com/questions/79156403/dqn-model-either-doesnt-work-or-it-is-extremely-slow-in-training
51,How to generalize the autogenerated Open-Meteo API call to arbitrary weather variables,"I'm using the open-source weather API open-meteo to download weather data. The website provides autogenerated python API calls in the documentation section. I would like to generalize this API call to be able to request arbitrary weather variables using the same code. For a minimal working example, I will use the documentation page mentioned above and set the following values: Location (somewhere in Hamburg): Latitude: 53.33 Longitude: 9.99 Hourly Weather Variables, tick: Temperature (2 m) Wind Speed (10 m) This generates the following API call for downloading the hourly values of the observables temperature_2m (air temperature 2m above the ground) and wind_speed_10m (wind speed 10m above the ground) at a location somewhere in Hamburg. import openmeteo_requests import requests_cache import pandas as pd from retry_requests import retry # Setup the Open-Meteo API client with cache and retry on error cache_session = requests_cache.CachedSession('.cache', expire_after = 3600) retry_session = retry(cache_session, retries = 5, backoff_factor = 0.2) openmeteo = openmeteo_requests.Client(session = retry_session) # Make sure all required weather variables are listed here # The order of variables in hourly or daily is important to assign them correctly below url = ""https://api.open-meteo.com/v1/forecast"" params = { ""latitude"": 53.55, ""longitude"": 9.99, ""hourly"": [""temperature_2m"", ""wind_speed_10m""] } responses = openmeteo.weather_api(url, params=params) # Process first location. Add a for-loop for multiple locations or weather models response = responses[0] print(f""Coordinates {response.Latitude()}°N {response.Longitude()}°E"") print(f""Elevation {response.Elevation()} m asl"") print(f""Timezone {response.Timezone()} {response.TimezoneAbbreviation()}"") print(f""Timezone difference to GMT+0 {response.UtcOffsetSeconds()} s"") # Process hourly data. The order of variables needs to be the same as requested. hourly = response.Hourly() hourly_temperature_2m = hourly.Variables(0).ValuesAsNumpy() hourly_wind_speed_10m = hourly.Variables(1).ValuesAsNumpy() hourly_data = {""date"": pd.date_range( start = pd.to_datetime(hourly.Time(), unit = ""s"", utc = True), end = pd.to_datetime(hourly.TimeEnd(), unit = ""s"", utc = True), freq = pd.Timedelta(seconds = hourly.Interval()), inclusive = ""left"" )} hourly_data[""temperature_2m""] = hourly_temperature_2m hourly_data[""wind_speed_10m""] = hourly_wind_speed_10m hourly_dataframe = pd.DataFrame(data = hourly_data) print(hourly_dataframe) My approach so far is to introduce a new python variable custom_variables_list for the names of the weather variables and then loop over it. I skip the part where the ValuesAsNumpy arrays are assigned to new variables only to be then copied to the dictionary. This looks as follows: import openmeteo_requests import requests_cache import pandas as pd from retry_requests import retry custom_variables_list = [""temperature_2m"", ""wind_speed_10m""] # Setup the Open-Meteo API client with cache and retry on error cache_session = requests_cache.CachedSession('.cache', expire_after = 3600) retry_session = retry(cache_session, retries = 5, backoff_factor = 0.2) openmeteo = openmeteo_requests.Client(session = retry_session) # Make sure all required weather variables are listed here # The order of variables in hourly or daily is important to assign them correctly below url = ""https://api.open-meteo.com/v1/forecast"" params = { ""latitude"": 53.55, ""longitude"": 9.99, ""hourly"": custom_variables_list } responses = openmeteo.weather_api(url, params=params) # Process first location. Add a for-loop for multiple locations or weather models response = responses[0] print(f""Coordinates {response.Latitude()}°N {response.Longitude()}°E"") print(f""Elevation {response.Elevation()} m asl"") print(f""Timezone {response.Timezone()} {response.TimezoneAbbreviation()}"") print(f""Timezone difference to GMT+0 {response.UtcOffsetSeconds()} s"") # Process hourly data. The order of variables needs to be the same as requested. hourly = response.Hourly() # hourly_temperature_2m = hourly.Variables(0).ValuesAsNumpy() <--- Do not allocate new variables for each observable # hourly_wind_speed_10m = hourly.Variables(1).ValuesAsNumpy() hourly_data = {""date"": pd.date_range( start = pd.to_datetime(hourly.Time(), unit = ""s"", utc = True), end = pd.to_datetime(hourly.TimeEnd(), unit = ""s"", utc = True), freq = pd.Timedelta(seconds = hourly.Interval()), inclusive = ""left"" )} for i, x in enumerate(custom_variables_list): # loop over the list of custom variables hourly_data[x] = hourly.Variables(i).ValuesAsNumpy() # <--- Assign the values here hourly_dataframe = pd.DataFrame(data = hourly_data) print(hourly_dataframe) The code runs without errors and prints the dataframe content. My Question: Is this a valid approach or am I missing some aspects leading to unexpected behavior. In particular, I'm asking since I do not really understand the allocation of individual variables before assigning them to the dictionary in the original API call. I thought about this and I do not see any reason to introduce the extra variables in the original autogenerated call.",[],0,"python, dataframe, weather-api, generalization, python, dataframe, weather-api, generalization",https://stackoverflow.com/questions/79156375/how-to-generalize-the-autogenerated-open-meteo-api-call-to-arbitrary-weather-var
51,Generate arry of positive integers that sum of to k,"My task is simple: I want to generate an (ideally numpy) array containing all combinations of m positive (>=0), but bounded (<= e) integers that sum exactly to k. Note that k and m might be relatively high, so generating all combinations and filtering will not work. I have implemented it in plain, recursive python but this small functions takes most of my time and I need to replace it to perform better. I have tried to come up with numpy/pytorch code to generate this array but I didn't manage to do it so far. I currently use numpy and pytorch in my project, but I am open to other libraries as long as I write python code and I get something I can convert to numpy arrays in the end. Here's some code: import timeit def get_summing_up_to(max_degree, sum, length, current=0): assert sum >= 0 assert length >= 1 if length == 1: residual = sum - current if residual <= max_degree: return [(residual,)] else: return [] max_element = min(max_degree, sum - current) return [ (i,) + t for i in range(max_element + 1) for t in get_summing_up_to( max_degree, sum, length - 1, current=current + i ) ] if __name__ == '__main__': result = timeit.timeit('get_summing_up_to(60, 60, 6)', globals=globals(), number=1) print(f""Execution time: {result} for max_degree=60, sum=60, length=6"") result = timeit.timeit('get_summing_up_to(30, 30, 8)', globals=globals(), number=1) print(f""Execution time: {result} for max_degree=30, sum=30, length=8"")","['[[ANSWER_1], [VOTES=0]] : To solve this problem more efficiently, you can leverage itertools.combinations_with_replacement to generate combinations without needing recursion. This approach should improve performance by reducing function call overhead and allowing for more efficient filtering. import numpy as np import itertools def generate_combinations(max_degree, target_sum, length): result = [] for comb in itertools.combinations_with_replacement(range(1, max_degree + 1), length): if sum(comb) == target_sum: result.append(comb) return np.array(result) if __name__ == ""__main__"": result = generate_combinations(60, 60, 6) print(f""Generated {len(result)} combinations for max_degree=60, sum=60, length=6"") result = generate_combinations(30, 30, 8) print(f""Generated {len(result)} combinations for max_degree=30, sum=30, length=8"")', ""[[ANSWER_2], [VOTES=-1]] : If you want to find all combinations you can use itertools. If you want replacement after each selection use combinations_with_replacement and in that case combinations such as (m,m) will be allowed. Otherwise use combination. import numpy as np import itertools e = 10 # the limit # generate elements to be combined # so they are from 0 to e # with 1 spacing in between each elements = np.linspace(0,e,e+1,dtype=int) # But this can be `Astring`, (tu,ple), ['List', 'of', 'anything'], ... r = 2 # combinations of r elements # Generate all combinations of r elements comb = itertools.combinations_with_replacement(elements, r) # print all the combinations as tuples print(list(comb)) The print shows [(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 10), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 10), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 10), (5, 5), (5, 6), (5, 7), (5, 8), (5, 10), (6, 6), (6, 7), (6, 8), (6, 10), (7, 7), (7, 8), (7, 10), (8, 8), (8, 10), (10, 10)] Then you filter the list to keep only combinations that sums up to k like this k_combs = [] k = 2 # only keeps tuple that sums up to 2 for i,j in enumerate(list(comb)): if np.sum(j) == k: k_combs.append(j) print(k_combs) Which gives [(0, 2), (1, 1)]""]",1,"python, numpy, pytorch, python, numpy, pytorch",https://stackoverflow.com/questions/79156347/generate-arry-of-positive-integers-that-sum-of-to-k
51,Remove words in columns in pandas DataFrame based on total frequency,"I have a dataframe. I want to figure out which words appear exactly five times in the whole corups. I also need to figure out how to remove all of those words from the dataframe/remove the columns. I used this code df.drop([col for col in df.columns if col.endswith('_y')],axis=1,inplace=True) to drop any that ended with y but I don't know how to adjust the code to find words that come up exactly equal to 5.","['[[ANSWER_1], [VOTES=0]] : Assuming words are separated by spaces in your column names... Combine all your column names into a single string and then use count words using str.split() and Counter. List words with a strict count of 5 Create regex of bad words by joining list with \'|\' Identify columns with df.columns.str.contains using regex pattern Drop columns from collections import Counter # Example DataFrame df = pd.DataFrame(columns = [""hello"", ""hello world"", ""hello goodbye"", ""hello hello"", ""foo"", ""foo foo foo foo foo""]) word_count = Counter(\' \'.join(df.columns).split()) remove_words = [word for word in word_count if word_count[word] == 5] columns_to_drop = df.columns[df.columns.str.contains(\'|\'.join(remove_words))] df.drop(columns = columns_to_drop)', ""[[ANSWER_2], [VOTES=0]] : Lets say you have a dataframe: df = pd.DataFrame(data) I have used this dummy example: data = { 'apple': [1, 2, 1], # Total: 4 'banana': [2, 1, 2], # Total: 5 'cherry': [0, 0, 0], # Total: 0 'date': [5, 0, 0], # Total: 5 'elderberry': [3, 2, 1] # Total: 6 } First, calculate the total frequency per word. word_counts = df.sum(axis=0) Second, identify words with exactly five occurances: words_to_remove = word_counts[word_counts == 5].index.tolist() Thirdly, remove the identiifed columns from the dataframe: df.drop(columns=words_to_remove, inplace=True) Print output from my own script: Original DataFrame: apple banana cherry date elderberry 0 1 2 0 5 3 1 2 1 0 0 2 2 1 2 0 0 1 Total frequency of each word: apple 4 banana 5 cherry 0 date 5 elderberry 6 dtype: int64 Words to remove (frequency == 5): ['banana', 'date'] DataFrame after removing words with frequency exactly 5: apple cherry elderberry 0 1 0 3 1 2 0 2 2 1 0 1""]",0,"python, pandas, dataframe, python, pandas, dataframe",https://stackoverflow.com/questions/79156330/remove-words-in-columns-in-pandas-dataframe-based-on-total-frequency
51,Display the address of the segments of an exe file,"I have written a program in Python language that I want to get the name of an exe file and show me the address of the segments related to that file. What is the problem with this code? import pefile def extract_segments(exe_path):try:pe = pefile.PE(exe_path) print(f""\nExtracting segments from: {exe_path}"") print(""="" * 50) for section in pe.sections: name = section.Name.decode('utf-8').strip('\x00') virtual_address = hex(section.VirtualAddress) size = section.SizeOfRawData print(f""Section: {name}"") print(f"" Virtual Address: {virtual_address}"") print(f"" Size: {size} bytes\n"") if name in ['.text', '.data']: print(f"" Content (first 64 bytes):"") print(section.get_data()[:64].hex()) print(""-"" * 50) except FileNotFoundError: print(""Error: File not found."") except pefile.PEFormatError: print(""Error: The file is not a valid PE executable."") if name == ""main"":exe_path = input(""Enter the path of the EXE file: "")extract_segments('sinama.exe')`","['[[ANSWER_1], [VOTES=0]] : As mentioned in the staging area comments, your code is not indented correctly. This is critical in python. Also there were errors in the last 3 correctly indented lines. Below, you will find your code as corrected. import pefile def extract_segments(exe_path): try: pe = pefile.PE(exe_path) print(f""\\nExtracting segments from: {exe_path}"") print(""="" * 50) for section in pe.sections: name = section.Name.decode(\'utf-8\').strip(\'\\x00\') virtual_address = hex(section.VirtualAddress) size = section.SizeOfRawData print(f""Section: {name}"") print(f"" Virtual Address: {virtual_address}"") print(f"" Size: {size} bytes\\n"") if name in [\'.text\', \'.data\']: print(f"" Content (first 64 bytes):"") print(section.get_data()[:64].hex()) print(""-"" * 50) except FileNotFoundError: print(""Error: File not found."") except pefile.PEFormatError: print(""Error: The file is not a valid PE executable."") if __name__ == ""__main__"": exe_path = input(""Enter the path of the EXE file: "") extract_segments(exe_path)']",0,"python, python",https://stackoverflow.com/questions/79156313/display-the-address-of-the-segments-of-an-exe-file
51,"""error"": ""'NoneType' object has no attribute 'seek'"" when trying to decode the message in the file","I've been working on a project that embeds ciphertext into a PNG file using LSB. My lsb_encode function works, the IV is correctly saved in the metadata (I've checked) and overall the file is usable. My main issue is when I try to reverse the process. I get the error in the title using this curl command -> curl -X POST -F ""encoded_image=@C:/Users/PATH/output_image.png"" -F ""delimiter=example delimiter"" ``http://127.0.0.1:5000/png_decode. I have been stuck on this part of the issue for a couple of days now. I am not a developer and this is one of my first 'major' projects I've been working on so any lead is welcome! import logging import numpy as np from PIL import Image, PngImagePlugin, JpegImagePlugin import hashlib from cryptography.hazmat.primitives.kdf.pbkdf2 import PBKDF2HMAC from cryptography.hazmat.primitives import hashes, padding from cryptography.hazmat.backends import default_backend from cryptography.hazmat.primitives.ciphers import Cipher, algorithms, modes import io from io import BytesIO import os from flask import Flask, url_for, jsonify, send_file, request # Code is test only right now. IF it works as intended it should be tuned to adapt to a web service. app = Flask(__name__) logging.basicConfig(level=logging.DEBUG) master_key = 'swlLZ3oalZ5w_sk9ZCgUgmkH7PZLJQqt76D51a5kdAM=' #@app.route('/png_encode', methods=['POST']) def lsb_encoder(file, message, delimiter, iv): # image load and convert to array try: with Image.open(file) as img: if img.mode != 'RGB': img = img.convert('RGB') encoded_image = img.copy() width, height = img.size logging.debug(""Image size: %dx%d"", width, height) #Prepare binary message including delimiter binary_message = ''.join(format(byte, '08b') for byte in message) binary_delimiter = ''.join(format(byte, '08b') for byte in delimiter) binary_message += binary_delimiter logging.debug(""Binary message length in bits: %d"", len(binary_message)) # Check if message fits in image if len(binary_message) > width * height * 3: return None, jsonify({""error"": ""Message cannot be fully hidden in image""}) pixels = encoded_image.load() message_index = 0 # Encode message into image for x in range(width): for y in range(height): if message_index >= len(binary_message): break r, g, b = pixels[x, y] for i in range(3): if message_index >= len(binary_message): break bit = int(binary_message[message_index]) if i == 0: r = (r & ~1) | bit elif i == 1: g = (g & ~1) | bit else: b = (b & ~1) | bit message_index += 1 pixels[x, y] = (r, g, b) output_buffer = io.BytesIO() png_info = PngImagePlugin.PngInfo() png_info.add_text(""iv"", iv.hex()) encoded_image.save(output_buffer, pnginfo=png_info, format=""PNG"", optimize=False) # compress_level=0 If facing image size related errors, set optimize to False output_buffer.seek(0) logging.debug(""Encoded image size after saving %d KB"", output_buffer.tell()//1024) return output_buffer, None except Exception as e: logging.error(""Error during encoding: %s"", e) return None, jsonify({""error"": ""Failed to process and encode image""}) ######################################################################################################################################################################### #@app.route('/png_decode', methods=['POST']) def lsb_decoder(file): try: file.seek(0) with Image.open(file) as img: logging.debug(""Image opened successfully in lsb_decoder."") if img.mode != 'RGB': img = img.convert('RGB') width, height = img.size logging.debug(""Encoded image size: %dx%d"", width, height) pixels = img.load() binary_message = '' # Extract LSB bits to form binary string for x in range(width): for y in range(height): r, g, b = pixels[x, y] binary_message += str(r & 1) binary_message += str(g & 1) binary_message += str(b & 1) # Convert binary string to bytes binary_message = [binary_message[i:i+8] for i in range(0, len(binary_message), 8)] message_bytes = bytearray() for byte in binary_message: if len(byte) < 8: continue # Skip if not a full byte message_bytes.append(int(byte, 2)) # Return the extracted bytes (ciphertext + delimiter), without IV return bytes(message_bytes), None except Exception as e: logging.error(""Error during extraction: %s"", e) return None, str(e) # return jsonify({""message"": decoded_message}), 200 @app.route('/png_encode', methods=['POST']) def data_preprocessing(): file = request.files.get('image') #get image from upload message = request.form.get('message') #get message to be stegoed into image delimiter = request.form.get('delimiter') #get delimiter to be hashed for derived key and stegoed in the image if not file or not message or not delimiter: return jsonify({""error"": ""Image, message and delimiter are required""}), 400 hashed_delimiter = hashlib.sha256(delimiter.encode('utf8')).digest() #hash delimiter iv = os.urandom(16) kdf = PBKDF2HMAC( algorithm=hashes.SHA256(), length=32, #32 bytes = 256 bit key for AES-256 salt = hashed_delimiter, iterations=10000, backend=default_backend() )#derive key for encryption of message derived_key = kdf.derive(master_key.encode('utf8')) message_bytes = message.encode('utf8') #AES cipher in CBC mode cipher = Cipher(algorithms.AES(derived_key), modes.CBC(iv), backend=default_backend()) #Padding to make it multiple of 16 bytes padder = padding.PKCS7(algorithms.AES.block_size).padder() padded_message = padder.update(message_bytes) + padder.finalize() #Encrypt the padded message encryptor = cipher.encryptor() ciphertext = encryptor.update(padded_message) + encryptor.finalize() encoded_image, error_response = lsb_encoder(file, ciphertext, hashed_delimiter, iv) #error_response if error_response: return error_response return send_file(encoded_image, mimetype=""image/png"", as_attachment=True, download_name=""encoded_image.png"") @app.route('/png_decode', methods=['POST']) def data_deciphering(): encoded_image = request.files.get('encoded_image') # Get the encoded image from upload delimiter = request.form.get('delimiter') # Get the delimiter used for hashing if not encoded_image or not delimiter: return jsonify({""error"": ""Image and delimiter are required""}), 400 hashed_delimiter = hashlib.sha256(delimiter.encode('utf8')).digest() # Hash the delimiter # Decode the image to extract the ciphertext and delimiter (IV not included here) ciphertext_with_delimiter, error_response = lsb_decoder(encoded_image) if error_response: return jsonify({""error"": error_response}), 400 # Extract IV from image metadata in data_deciphering try: with Image.open(encoded_image) as img: iv_hex = img.info.get(""iv"", None) if iv_hex is None: return jsonify({""error"": ""IV not found in image metadata""}), 400 iv = bytes.fromhex(iv_hex) except Exception as e: logging.error(""Error reading IV from image metadata: %s"", e) return jsonify({""error"": ""Failed to extract IV from image""}), 400 # Derive key for decryption kdf = PBKDF2HMAC( algorithm=hashes.SHA256(), length=32, # 32 bytes = 256 bit key for AES-256 salt=hashed_delimiter, iterations=10000, backend=default_backend() ) derived_key = kdf.derive(master_key.encode('utf8')) # AES cipher in CBC mode for decryption cipher = Cipher(algorithms.AES(derived_key), modes.CBC(iv), backend=default_backend()) decryptor = cipher.decryptor() # Decrypt the ciphertext padded_message = decryptor.update(ciphertext_with_delimiter) + decryptor.finalize() # Unpadding to get the original message unpadder = padding.PKCS7(algorithms.AES.block_size).unpadder() original_message = unpadder.update(padded_message) + unpadder.finalize() message_length = len(original_message) - 32 original_message = original_message[:message_length].decode('utf8') return jsonify({""message"": original_message}), 200 ######################################################################################################################################################################### if __name__ == '__main__': app.run(debug=True) Added several logging statements to try and track where the process fails but to no avail.",[],0,"python, flask, cryptography, steganography, hashlib, python, flask, cryptography, steganography, hashlib",https://stackoverflow.com/questions/79156260/error-nonetype-object-has-no-attribute-seek-when-trying-to-decode-the-m
51,"When a Flask server receives a request, it makes a GET request in return [closed]","Closed. This question needs debugging details. It is not currently accepting answers. Edit the question to include desired behavior, a specific problem or error, and the shortest code necessary to reproduce the problem. This will help others answer the question. Closed 7 mins ago. Improve this question When accessing 0.0.0.0:5000 on the server side, received is displayed, but on the client side, the data sent from the server is not being saved. It's likely that the code either incorrectly sends the data from the server, or the client's code data = response.json() save_file=""received_data.txt"" #location with open(save_file, 'w') as file: for value in data: file.write(f'{value}\n') is incorrect client incorrectly processes the data, but I'm not sure what to fix. #client code from flask import Flask, request import requests import json import logging app = Flask(__name__) logging.basicConfig(filename='data.log', level=logging.INFO) get_request = 0 @app.route('/') def get_coordinate(): try: response = requests.get(""http://0.0.0.0:5000"") if response.status_code == 200: data = response.json() save_file=""received_data.txt"" #location with open(save_file, 'w') as file: for value in data: file.write(f'{value}\n') else: print(f""Failed to fetch data, status code: {response.status_code}"") except requests.exceptions.RequestException as e: print(f""Request failed: {e}"") return ""received"", 200 if __name__ == '__main__': app.run(debug=True, host='0.0.0.0', port=5000) #server code from flask import Flask, jsonify app = Flask(__name__) @app.route('/', methods=['GET']) def send_data(): data = [12.34, 56.78, 90.12, 34.56] return jsonify(data) if __name__ == '__main__': app.run(host='0.0.0.0', port=5000) I connected using the same Wi-Fi and communicated using the internal IP. and I also not 0.0.0.0, but actually using the server's IP. Logging doesn't seem necessary, but it was added for verification purposes, so it's okay to ignore it.",[],-1,"python, flask, python-requests, python, flask, python-requests",https://stackoverflow.com/questions/79156244/when-a-flask-server-receives-a-request-it-makes-a-get-request-in-return
